Swimmer_ID,Time,Meet,Year,Date,Imp
172052,46.90,ACC Men's Championships, 2015,"Feb 28, 2015",-1.4%
172052,46.90,2015 Atlantic Coast Championships (M), 2015,"Feb 28, 2015",-1.4%
172052,48.52,"Pittsburgh vs. Clarion, California, Carnegie Mellon, Duquesne", 2015,"Jan 31, 2015",-4.9%
172052,46.27,Pittsburg Invitational, 2014,"Nov 23, 2014",+5.7%
172052,47.33,Pittsburg Invitational, 2014,"Nov 23, 2014",+3.5%
172052,49.05,Bucknell vs. Pittsburgh, 2014,"Oct 25, 2014",NA
172052,46.16,2014 Atlantic Coast Conference Championships (M), 2014,"Mar 01, 2014",+2.0%
172052,48.42,West Virginia vs. Pittsburgh, 2014,"Jan 11, 2014",-2.8%
172052,47.12,2013 AT&T Winter National Championships, 2013,"Dec 07, 2013",+0.1%
172052,47.36,Pittsburgh Invitational, 2013,"Nov 24, 2013",+1.0%
172052,47.18,Pittsburgh Invitational, 2013,"Nov 24, 2013",+1.4%
172052,47.36,Pitt Panthers Invitational, 2013,"Nov 24, 2013",+1.0%
172052,47.18,Pitt Panthers Invitational, 2013,"Nov 24, 2013",+1.4%
172052,47.86,Bucknell vs. Pittsburgh, 2013,"Oct 26, 2013",NA
172052,45.13,2013 Big East Conference Championships, 2013,"Mar 02, 2013",+1.8%
172052,45.05,2013 Big East Conference Championships, 2013,"Mar 02, 2013",+2.0%
172052,46.08,Pittsburgh Invitational, 2012,"Nov 18, 2012",+3.1%
172052,45.95,Pittsburgh Invitational, 2012,"Nov 18, 2012",+3.3%
172052,46.94,Pittsburgh Invitational, 2012,"Nov 18, 2012",+1.2%
172052,47.53,Notre Dame vs. Pittsburgh, 2012,"Nov 09, 2012",NA
172052,46.39,Big East Conference Championships, 2012,"Feb 18, 2012",-0.2%
172052,46.30,Pittsburgh Invitational, 2011,"Nov 20, 2011",+4.5%
172052,48.48,Buffalo vs. Pittsburgh, 2011,"Oct 21, 2011",NA
111837,46.97,"Ohio State vs. Akron, Pittsburgh", 2017,"Jan 21, 2017",-1.4%
111837,46.66,AM TPIT 55th Annual Christmas Meet Invitational, 2016,"Dec 18, 2016",-0.8%
111837,46.92,AM TPIT 55th Annual Christmas Meet Invitational, 2016,"Dec 18, 2016",-1.3%
111837,46.86,Ohio State Invitational, 2016,"Nov 20, 2016",+0.9%
111837,46.30,Ohio State Invitational, 2016,"Nov 20, 2016",+2.1%
111837,47.37,"Pittsburgh vs. Notre Dame, Virginia Tech", 2016,"Nov 04, 2016",-0.1%
111837,47.30,Pittsburgh vs. SUNY Buffalo, 2016,"Oct 28, 2016",+0.0%
111837,47.31,Virginia vs. Pittsburgh, 2016,"Oct 21, 2016",+0.6%
111837,47.58,"Boston College vs. Georgia Tech, Pittsburgh", 2016,"Oct 08, 2016",NA
111837,44.60,2016 Atlantic Coast Championships (M), 2016,"Feb 27, 2016",+1.7%
111837,44.45,2016 Atlantic Coast Championships (M), 2016,"Feb 27, 2016",+2.1%
111837,46.09,Western PA Invitational, 2016,"Jan 30, 2016",-1.5%
111837,46.54,West Virginia vs. Pittsburgh, 2016,"Jan 09, 2016",-2.5%
111837,45.39,Big Al Open, 2015,"Dec 06, 2015",+1.0%
111837,45.63,Big Al Open, 2015,"Dec 06, 2015",+0.4%
111837,45.83,Pittsburgh Invitational, 2015,"Nov 22, 2015",+0.8%
111837,46.21,Pittsburgh vs. Georgia Tech, 2015,"Oct 17, 2015",NA
111837,46.06,ACC Men's Championships, 2015,"Feb 28, 2015",+0.9%
111837,46.06,2015 Atlantic Coast Championships (M), 2015,"Feb 28, 2015",+0.9%
111837,47.06,Villanova vs. Pittsburgh, 2015,"Feb 07, 2015",-1.2%
111837,46.49,Pittsburg Invitational, 2014,"Nov 23, 2014",+1.0%
111837,46.64,Pittsburg Invitational, 2014,"Nov 23, 2014",+0.7%
111837,46.97,Pittsburgh vs. Saint Bonaventure, 2014,"Oct 24, 2014",+0.3%
111837,47.11,Pittsburgh vs. Duke, 2014,"Oct 11, 2014",NA
111837,47.25,Pittsburgh Invitational, 2013,"Nov 24, 2013",+2.2%
111837,47.25,Pitt Panthers Invitational, 2013,"Nov 24, 2013",+2.2%
111837,48.33,Saint Bonaventure vs. Pittsburgh, 2013,"Oct 19, 2013",NA
111837,46.30,2013 NCSA Junior National Championships, 2013,"Mar 15, 2013",-0.3%
111837,46.16,2012-13 Iowa Boys Championships - Best Times, 2013,"Feb 09, 2013",NA
111837,46.53,2011 Speedo Short Course Junior Nationals, 2011,"Dec 10, 2011",NA
111837,47.72,"2011 Speedo Sectionals - Waukesha, WI", 2011,"Mar 13, 2011",NA
111837,49.07,2010 Speedo Champions Series (Minneapolis), 2010,"Mar 13, 2010",NA
111837,49.07,2010 Speedo Champions Series (Minneapolis), 2010,"Mar 13, 2010",NA
181673,49.96,Pittsburgh Invitational, 2012,"Nov 18, 2012",NA
189666,47.12,Western PA Invitational, 2017,"Jan 28, 2017",+0.4%
189666,48.07,"Ohio State vs. Akron, Pittsburgh", 2017,"Jan 21, 2017",-1.6%
189666,48.30,AM TPIT 55th Annual Christmas Meet Invitational, 2016,"Dec 18, 2016",-2.1%
189666,47.32,AM TPIT 55th Annual Christmas Meet Invitational, 2016,"Dec 18, 2016",-0.0%
189666,47.31,"Pittsburgh vs. Notre Dame, Virginia Tech", 2016,"Nov 05, 2016",NA
189666,48.24,2014 Illinois Senior Champions Meet, 2013,"Mar 03, 2013",NA
216642,50.18,"2013 Speedo Champions Series - Christiansburg, VA", 2013,"Mar 24, 2013",-4.0%
216642,48.25,"2013 Speedo Champions Series - Christiansburg, VA", 2013,"Mar 23, 2013",NA
216642,48.72,2012 Middle Atlantic SC Senior Championship, 2012,"Mar 25, 2012",+3.9%
216642,48.37,2012 Middle Atlantic SC Senior Championship, 2012,"Mar 25, 2012",+4.6%
216642,50.70,Tom Dolan Invitational, 2011,"Dec 11, 2011",NA
216642,49.77,MIddle Atlantic Senior Championships, 2011,"Mar 27, 2011",+0.5%
